item,reading,description,example,level,sort,tag,category
"静まる","しずまる","lắng xuống, dịu đi","風が静まった:  gió đã ngớt<br>その薬を飲んでみたが痛みは鎮まるどころかますます激しくなった: Tôi đã uống thuốc đó rồi , chẳng những cơn đau không dịu đi mà còn đau dữ dội hơn nữa.","N2","11",",400dongtu,lesson7,",""
"透き通る","すきとおる","trong suốt, trong vắt (đồ vật , giọng nói…)","水晶は透き通っている:Thủy tinh trong suốt<br>透き通るような肌: da trắng muốt<br>着物が薄くて胸が透き通ってみえる: Đồ mặc mỏng quá nên thấy xuyên qua ngực.","N2","12",",400dongtu,lesson7,",""
"狂う","くるう","điên, khùng, phát cuồng","気が狂うほど人を恋する: yêu ai đó đến nỗi mất trí","N2","13",",400dongtu,lesson7,",""
"悩む","なやむ","buồn phiền","物価の急騰に悩む: lo lắng về vật giá leo thang.<br>恋に悩む女 : cô gái đang buồn phiền về tình yêu.","N2","14",",400dongtu,lesson7,",""
"近寄る","ちかよる","tiếp cận","","N2","15",",400dongtu,lesson7,",""
"取り消す","とりけす","thủ tiêu, phế trừ","約束・注文を取り消す: bỏ ước hẹn / đặt hàng.","N2","16",",400dongtu,lesson7,",""
"巻く","まく","Cuốn tròn, gói ghém, quấn.","マフラーを首に巻く: Quấn khăn choàng vào cổ<br>時計を巻く: vặn đồng hồ<br>ガスが巻く : gas bao phủ","N2","17",",400dongtu,lesson7,",""
"壊す","こわす","đánh vỡ, làm hư","パソコンを壊す : làm hỏng máy tính<br>恋を壊す女の人の涙  : nước mắt của người phụ nữ đánh mất tình yêu<br>弟にカメラを壊されてしまった : Cái máy ảnh bị thằng em trai phá hỏng mất rồi","N2","18",",400dongtu,lesson7,",""
"設ける","もうける","Sự thiết lập, sự trang bị.","世界一厳しい排出ガス基準を設ける: Thiết lập các tiêu chuẩn nghiêm ngặt nhất thế giới về khí thải<br>講座を設ける : tổ chức buổi hôi thảo","N2","19",",400dongtu,lesson7,",""
"似る","にる","giống, tương tự, tựa","似た話を聞いたことがある: tôi đã nghe những chuyện tương tự <br>あの子は父によく似ている: đứa bé kia rất giống bố ","N2","20",",400dongtu,lesson7,",""
"傾く","かたむく","nghiêng về hướng","右に傾く: nghiêng về bên phải <br>日が西に傾く: mặt trời ngả về hướng tây <br>彼はその意見に傾いている: anh ấy nghiêng vê ý kiến đó","N2","1",",400dongtu,lesson8,",""
"浸ける","つける","ngâm, đắm đuối, nhúng vào","野菜や果物を水に浸ける: Ngâm rau và trái cây vào nước","N2","2",",400dongtu,lesson8,",""
"威張る","いばる","kiêu ngạo , vênh váo , tự mãn","威張って歩く: bước đi kiêu hãnh<br> 威張るやつは決まって憶病者だ: Một kẻ kiêu ngạo chắc chắn luôn là một kẻ hèn nhát <br>あの男に金を借りようものなら, それこそやたらに威張りくさる機会を与えるだけだ: Đừng có mượn tiền hắn, vì mỗi lần tính mượn tiền hắn là chỉ tạo cơ hội cho hắn tinh tướng mà thôi","N2","3",",400dongtu,lesson8,",""
"感じる","かんじる","cảm thấy, cảm giác","痛みを感じる: cảm thấy đau<br>明るい色に比べて、暗い色はなんとなく重く感じる : So với màu sáng, không hiểu tại sao màu tối lại có cảm giác nặng hơn","N2","4",",400dongtu,lesson8,",""
"収める","おさめる","thu được  , giao nộp, dâng, dọn dẹp, nhận, dành được / thu được ","税金を納める: Nộp thuế<br>神にお礼を納める: dâng lễ vật cho Thượng Đế<br>元の所に納める: Trả về chỗ cũ<br>賄賂を納める: nhận hối lộ <br>勝利を収める:dành được thắng lợi","N2","5",",400dongtu,lesson8,",""
"交ざる","まざる","Giao vào nhau, trộn vào với nhau, lẫn vào với nhau.","彼の血には外国人の血が交じっている: Máu anh ấy có trộn lẫn với máu người nước ngoài","N2","6",",400dongtu,lesson8,",""
"零す","こぼす","làm tràn, làm đổ","水を零す : làm tràn nước<br> ご飯を零す: đánh đổ cơm<br>人知れず涙を零す: bất giác ứa nước mắt","N2","7",",400dongtu,lesson8,",""
"裏切る","うらぎる","phản bội","彼女に裏切られた:Tôi đã bị cô ấy phản bội<br>ファンの期待を裏切っった:Phản bội lại sự kỳ vọng của người hâm mộ <br>あの人ならやってくれるだろうと信じていたのに、期待を裏切られてしまった:Tôi đã tin rằng nếu là người đó thì sẽ giúp tôi, nhưng tôi đã bị thất vọng","N2","8",",400dongtu,lesson8,",""
"掛かる","かかる","tốn  (tiền, thời gian)","思ったより時間がかかる : Tốn thời gian hơn tôi nghĩ:","N2","9",",400dongtu,lesson8,",""
"失う","うしなう","mất, đánh mất","年をとっても、いつまでも夢や希望を失いたくないものだ : Con người ta cho dù là có tuổi thì cũng không bao giờ muốn đánh mất đi ước mơ và hy vọng<br>世界には、戦争によって、親や住む家を失った子供が大勢いる : Trên thế giới, có nhiều đứa trẻ bị mất cha mẹ và chỗ ở vì chiến tranh","N2","10",",400dongtu,lesson8,",""
"散らかす","ちらかす","làm vương vãi, vứt lung tung","部屋中におもちゃを散らかす: vương vãiđồ chơi đầy phòng","N2","11",",400dongtu,lesson8,",""
"覗く","のぞく","liếc nhìn, nhìn trộm","彼女がシャワーを浴びている時、彼は戸の隙間から覗いた : Khi cô ấy đang tắm, anh ta đã nhìn trộm qua khe cửa:<br>店をのぞいてみる: Tạt vào cửa tiệm","N2","12",",400dongtu,lesson8,",""
"悲しむ","かなしむ","bi ai , đăm chiêu , lo buồn","母の死ぬを悲しむ: Đau buồn vì cái chết của mẹ","N2","13",",400dongtu,lesson8,",""
"慰める","なぐさめる","an ủi, động viên","人の悲しみを慰める: An ủi nỗi đau của người khác<br>何事も運命だと思って自らを慰めた: Tự an ủi bản thân là mọi việc trên đời đều do số phận","N2","14",",400dongtu,lesson8,",""
"及ぼす","およぼす","va lây , gây ra","その台風は九州に大きな被害を及ぼした: Trận bão đó đã gây thiệt hại to lớn cho vùng Kyushu<br>その教師は教え子達に大きな影響を及ぼした: Thầy giáo đó đã có một ảnh hưởng lớn lên các học sinh","N2","15",",400dongtu,lesson8,",""
"見慣れる","みなれる","Quen mắt, quen nhìn, biết rõ.","見慣れた眺め: Quang cảnh quen thuộc<br>見慣れない人: người không quen biết<br>見慣れないとほとんど区別がつかない: Nếu không rành thì hầu như  không thể phân biệt được","N2","16",",400dongtu,lesson8,",""
"係わる","かかわる","liên quan, liên can","多くの会社がその汚職事件に係わっていた: Rất nhiều công ty dính líu đến vụ nhận hối lộ đó","N2","17",",400dongtu,lesson8,",""
"転がる","ころがる","lăn lóc","ボールが転々と外野を転がる : trái bóng lăn vòng vòng ra ngoài sân<br>坂道を転がり落ちる Lăn xuống dốc","N2","18",",400dongtu,lesson8,",""
"頷く","うなずく","gật đầu","彼の意見に対してそうそうと頷く: gật đầu đồng ý với ý kiến của anh ấy<br>元気づけるように頷く: gật đầu cho vững dạ ","N2","19",",400dongtu,lesson8,",""
"見下ろす","みおろす","Coi khinh, khinh miệt, nhìn xuống.","ヘリコプターで全市を見下ろすことができた:  Có thể nhìn toàn cảnh thành phố từ trên trực thăng<br>人を見下ろした態度:Thái độ coi thường người khác","N2","20",",400dongtu,lesson8,",""
"湿る","しめる","ẩm ướt","湿らないようにする: giữ để không ẩm ướt","N2","1",",400dongtu,lesson9,",""
"預ける","あずける","giữ , phụ trách ( tha động từ)","旅行かばんを駅に預けた: tôi gửi túi du lịch ở nhà ga<br>この問題は君に預かる : Giao vấn đề đó cho cậu xử lý","N2","2",",400dongtu,lesson9,",""
"外す","はずす","sai lệch, không đúng, loại bỏ, loại ra","予想を外す : Ngoài dự đoán<br>違反者をメンバーから外す:Loại người phạm quy ra khỏi nhóm<br>時計を外す:tháo đồng hồ ra","N2","3",",400dongtu,lesson9,",""
"迷う","まよう","Lúng túng, lạc đường, bối rối","遅く来たのは道に迷ったためだ : Đến trễ là vì bị lạc đường<br>何にしようと迷っている: tôi đang bị lúng túng không biết chọn cái nào<br>大学進学の時、彼は迷うことなく、工学部を選んだ : Khi học lên đại học, anh ta đã không hề đắn đo , chọn khoa kỹ thuật công nghiệp","N2","4",",400dongtu,lesson9,",""
"微笑む","ほほえむ","Cười mĩm.","うれしそうに微笑む: mỉm cười sung sướng<br>花が微笑み始めた: hoa bắt đầu hé nở","N2","5",",400dongtu,lesson9,",""
"冷ます","さます","làm lạnh, làm nguội","火から外して完全に冷ます: để xa khỏi lửa và làm nguội hoàn toàn","N2","6",",400dongtu,lesson9,",""
"溜まる","たまる","đọng lại, dồn lại","行けるものなら行きたいけど、仕事が溜まっているんだよ : Nếu có thể đi được thì tôi rất muốn đi nhưng công việc đang còn tồn đọng nên …<br>机にほこりがいっぱいたまっていた: Trên bàn phủ một lớp bụi dày<br>部屋のすみにほこりがたまっている: Bụi đóng ở góc nhà","N2","7",",400dongtu,lesson9,",""
"吹く","ふく","Thổi (gió).","9月の風は、果物が屋根裏に納められるまで、優しく吹く: Gió tháng 9 thổi nhẹ đến tận khi hoa quả được thu gom chất đầy sau hiên nhà<br>吹いて冷ます:thôi cho nguội<br>笛を吹く:thổi sáo","N2","8",",400dongtu,lesson9,",""
"思い付く","おもいつく","nghĩ ra, nhớ ra","新しいアイディアを突然思い付く: Đột nhiên (nảy ra ý tưởng mới ","N2","9",",400dongtu,lesson9,",""
"零れる","こぼれる","bị tràn, trào","手のひらからこぼれる砂: cát chảy ra qua kẽ tay <br>ふいに涙がこぼれる: bất giác nước mắt trào ra ","N2","10",",400dongtu,lesson9,",""
"填める","はめる","nhồi vào , lồng vào, nhét vào","手袋をはめる:tròng găng tay vào<br>予算に一定の枠をはめる: Điều chỉnh budget vào khung<br>罠にはめる: sụp bẫy","N2","11",",400dongtu,lesson9,",""
"補う","おぎなう","bổ sung, đền bù , bù đắp , bồi thường","経験不足を勤勉で補う: bổ sung sự thiếu kinh nghiệm bằng sự chăm chỉ<br>欠員を補う: bổ sung cho người vắng mặt","N2","12",",400dongtu,lesson9,",""
"解ける","とける","cởi (trói), giải ( câu đố), tuột ra","この問題が解けますか: Bạn có thể giải được câu hỏi này không ?<br>彼はまだ君に対して疑いが解けていない Anh ấy vẫn chưa hết nghi ngờ cậu đâu<br>政府は夜間の外出禁止がまもなく解けた: Chính phủ sẽ sớm bãi bỏ quy định giới nghiêm ra ngoài lúc đêm khuya","N2","13",",400dongtu,lesson9,",""
"怠る","おこたる","bỏ bê, biếng nhác, lười biếng","彼は職務を怠る: anh ta bỏ bê công việc<br>義務を怠る : không chu toàn nghĩa vụ<br>注意が怠る: chểnh mãng, không chú ý","N2","14",",400dongtu,lesson9,",""
"引っ掛ける","ひっかける","Treo, móc vào.","上着をフックに引っ掛ける: treo áo khoác lên móc","N2","15",",400dongtu,lesson9,",""
"伸ばす","のばす","kéo, mở rộng","彼は自分の英語力を伸ばすための機会を利用した: Anh ấy đã tận dụng cơ hội để nâng cao khả năng tiếng Anh của bản thân<br>ロープを 2 メートル伸ばす Kéo dây dài ra 2m<br>期限を延ばす Gia hạn thêm kỳ hạn","N2","16",",400dongtu,lesson9,",""
"突っ込む","つっこむ","cắm vào, đâm vào, đi sâu vào, chui vào","両手をポケットに突っ込む: cho hai tay vào túi<br>敵陣に突っ込む : xông vào lòng địch<br>突っ込んだ研究をする Vùi đầu vào nghiên cứu","N2","17",",400dongtu,lesson9,",""
"甘やかす","あまやかす","nuông chiều","最近は子どもを甘やかす親が多い: Gần đây có rất nhiều bậc cha mẹ nuông chiều con cái","N2","18",",400dongtu,lesson9,",""
"残す","のこす","để lại, bỏ lại , bỏ sót lại, chừa lại","彼は後世に名を残した: ông ấy để lại tiếng thơm cho hậu thế","N2","19",",400dongtu,lesson9,",""
"当てる","あてる","đánh , đoán , ghé thăm","的に矢を当てる: bắn mũi tên trúng đích<br>馬にむちを当てる : Quất roi vào ngựa","N2","20",",400dongtu,lesson9,",""
"儲ける","もうける","Kiếm tiền, kiếm lời.","彼は本の子供だが月に三千円儲ける: nó chỉ là một đứa trẻ nhưng mỗi tháng nó kiếm được ba nghìn Yên","N2","1",",400dongtu,lesson10,",""
